frame_idx,timestamp,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,label
0,1766181834.9726038,0.0,0.0,0.0,-0.1432315180506429,-0.1013796787569509,-0.01382369813400063,-0.20367385894323098,-0.2648352250020816,0.0003979225771323881,-0.20468196278004752,-0.42786681733124365,0.012635586860483793,-0.2222245225472361,-0.5670436377662915,0.026547228847824633,-0.15091746578105367,-0.47771697812460784,0.07095828477702593,-0.178790642202197,-0.6780016956147703,0.08169715647608132,-0.18892341932220186,-0.8013893766742861,0.06793451133271489,-0.19616422810122527,-0.9035715547012011,0.05352487330860438,-0.0851398720642151,-0.49942197533891325,0.06570471250268158,-0.12169064155893376,-0.7278325704296755,0.08038778835321846,-0.13670779317965648,-0.8732136521537984,0.05748838453917761,-0.14698110051468977,-0.9885101689289386,0.03527324787387597,-0.030679813802729158,-0.49537044281825127,0.051724704464786365,-0.05627867960876375,-0.7073563474709206,0.0607664628110446,-0.06989972895514096,-0.8342116643378451,0.04174935125401522,-0.07629828487184082,-0.937146459738579,0.021777159113035585,0.03511212834447268,-0.475601428671342,0.033410750398088426,0.01199410614824627,-0.6393400610072867,0.039258669474123396,-0.004040264782700243,-0.7354318789614517,0.03463307577271268,-0.015560197508706441,-0.8306615250558476,0.026008400448839217,raised_hand
1,1766181835.072952,0.0,0.0,0.0,-0.11573320892440021,-0.09128053714438454,-0.02275383040595257,-0.17726911209396604,-0.26298525709924153,-0.027323621661838795,-0.18376043974991463,-0.4328237687756464,-0.03360321872303142,-0.20023920916934282,-0.5644177480016109,-0.03918220870701164,-0.127615449373161,-0.48182953666599765,0.01272363410026975,-0.1546600373280915,-0.6751200558834024,-0.010274761267138735,-0.16424696075614012,-0.7932328372100537,-0.03623234663879331,-0.16810628671832079,-0.90306842206656,-0.05619170334319257,-0.0685378159112415,-0.513201255325186,0.001521899414752136,-0.09835377852990171,-0.7315559189116655,-0.015820131732779425,-0.1117143830195563,-0.8672891911322204,-0.041216848798596245,-0.12147158568945551,-0.9906955768125352,-0.06137530410651627,-0.012417415810759077,-0.5043474505617914,-0.016843084857163175,-0.03561135177082374,-0.7113823762692139,-0.03681922105658654,-0.04681036992030957,-0.8354721947819909,-0.05299726750300672,-0.05634499690464442,-0.9439439456514693,-0.0658433446730029,0.04999245272573332,-0.46569208364974474,-0.03934608773996974,0.030784162640201427,-0.6229418055009662,-0.05701484599871616,0.016030586370403017,-0.725938051342994,-0.06379763579909845,-0.000462162452658803,-0.823053768411933,-0.06958480889362942,raised_hand
2,1766181835.1711318,0.0,0.0,0.0,-0.11326676912842638,-0.0867967710843222,-0.024468128695810585,-0.17387476080405556,-0.261546014329616,-0.029739324438358666,-0.18024476607695766,-0.4327898101672241,-0.036677381590255353,-0.1947206381279611,-0.5686643148892893,-0.04274551308435798,-0.12052738407613868,-0.48669403843141884,0.012740629063717814,-0.1460204245490161,-0.6746273791178032,-0.009173172852062535,-0.1547673488616031,-0.7888590523902815,-0.03461306944429112,-0.15676007015983917,-0.8964594088083869,-0.05492040111195311,-0.062381903372537274,-0.516469195401686,0.0018555784880967202,-0.09134591089173949,-0.7322245338799578,-0.015800975654686623,-0.10496729155145326,-0.8683721096246398,-0.04170213566965708,-0.11356562692555688,-0.9915697687990577,-0.06238783523082464,-0.006385712526433125,-0.5043595748973277,-0.01647237543469232,-0.026694771362013463,-0.7121037940947335,-0.03776564437183135,-0.03806724289851983,-0.8382062872202934,-0.0566921604111514,-0.04766319886186429,-0.9505616576618833,-0.07164052575746006,0.0557347952686252,-0.4615029636079749,-0.03888942696536956,0.0405053110321651,-0.6204774205316564,-0.0593763683472886,0.026133510035305764,-0.7262399442906232,-0.06954174899938648,0.010070113429561907,-0.8273160367667906,-0.07776991396540855,raised_hand
3,1766181835.2775612,0.0,0.0,0.0,-0.11656638738719212,-0.08325722221910103,-0.02417899496610031,-0.1755193884299586,-0.26143078553910365,-0.027454874345190707,-0.1790490369559838,-0.43550317076247275,-0.032476299409111696,-0.19633479064664058,-0.56895857330592,-0.0368092290559377,-0.1198802465934216,-0.48711106778858065,0.01518045657747341,-0.14507166725227824,-0.6741238526145155,-0.004885697854593939,-0.1545843657068379,-0.7888185122924435,-0.02953502581327128,-0.15801683311620762,-0.8969142198433115,-0.04969343528061088,-0.06188007603036292,-0.5179462480537598,0.004695490563107733,-0.09006487754286736,-0.7328748991492323,-0.011543195844327711,-0.10370060297358633,-0.8684001666829718,-0.03720858534340023,-0.11305960004399125,-0.9918880935150108,-0.058099369885135435,-0.006970467437607503,-0.5069144619618969,-0.013287233619036587,-0.026363667878513103,-0.71062594892397,-0.03338544794700687,-0.037925015133400714,-0.836627171770346,-0.052947120437123095,-0.048059436530452325,-0.948856345675139,-0.0687463014615279,0.054160757227694215,-0.4653246979914262,-0.03550266447856877,0.04007497862218631,-0.6221686933777199,-0.0548300467516267,0.02601771322625266,-0.7271998846785689,-0.06543478847908919,0.009945964266315244,-0.827462157319515,-0.07445443723073895,raised_hand
4,1766181835.374369,0.0,0.0,0.0,-0.11516304284961403,-0.08643627761486222,-0.0233735297049819,-0.1751538950024957,-0.2642117543108106,-0.027339782668586925,-0.18005816462888086,-0.4366681072207713,-0.03332700407445658,-0.19651557701663208,-0.568364691377239,-0.038577877252283836,-0.12021097579317648,-0.4872884879132608,0.013913689182061312,-0.14621260378209383,-0.6748743154521961,-0.007024278864069416,-0.15620887433731048,-0.788692905581059,-0.031664727861954435,-0.15994091870353708,-0.8956149824053316,-0.05148590254377311,-0.06211201364650101,-0.5175580539324796,0.0028092359114527685,-0.09101429248223833,-0.7320737177313146,-0.014278372561258001,-0.10515666109318841,-0.8682020835076738,-0.03963560105812691,-0.11510583030277334,-0.9915450460053302,-0.05990884385962268,-0.0057692828898115635,-0.5071923453630905,-0.015643263600702915,-0.02637043405301411,-0.7096922368152447,-0.03600874214885197,-0.038468149259492636,-0.836012484638884,-0.054972292116877666,-0.04941158658795848,-0.9474615147644274,-0.07000209242018464,0.05646330683110628,-0.46659035347846234,-0.038227732147293296,0.04070904422742806,-0.6231664750696833,-0.05747548849617549,0.026171748949258073,-0.7281545318827123,-0.06744099888146426,0.009809129072840853,-0.8275208450835704,-0.07565312691835768,raised_hand
5,1766181835.4713988,0.0,0.0,0.0,-0.11304611591449051,-0.08390700966902705,-0.02413503145125407,-0.17287374233615485,-0.2581401020147767,-0.028969682089202302,-0.17849478350421075,-0.429517883257065,-0.035658866225824926,-0.19486183087805078,-0.5613713270055792,-0.04175976544756706,-0.11743676996475402,-0.4844908512002607,0.011130959647789042,-0.14417611849355885,-0.6726925853698161,-0.010481310422699362,-0.15438810339311793,-0.7875734012451895,-0.03534580003801913,-0.15776530855839163,-0.8956651997754721,-0.05529844733526761,-0.060116567527216384,-0.5146096866755179,0.00026740444914285654,-0.08933756436387023,-0.7307454085865379,-0.017315834645029816,-0.1033454190197837,-0.8673838742323641,-0.042660200140451264,-0.11270629953969531,-0.9916310004217502,-0.0629702234919591,-0.0042569585752756985,-0.5039773892318047,-0.017808523756420443,-0.024591178314699116,-0.7080127832970803,-0.038513361275600795,-0.03640936814322051,-0.8351645746717183,-0.05740109812761902,-0.04677896496493652,-0.9473357120145993,-0.07244047105142104,0.05789318304462827,-0.4630857577495174,-0.04004827638843201,0.043084423194998306,-0.6203748078696701,-0.0593267893949026,0.028935267126834762,-0.7257792386167631,-0.06921463460146815,0.012845498421411318,-0.8250225643949721,-0.07747766146038233,raised_hand
6,1766181835.570549,0.0,0.0,0.0,-0.11319326731963811,-0.08102174423729332,-0.024263077799867843,-0.1732037061997997,-0.259128999175556,-0.02895799053880982,-0.17821968362284993,-0.4330035975372213,-0.03516567024898713,-0.19542584057310733,-0.5682473953274693,-0.04070271951757189,-0.11789716843159544,-0.4857524884766297,0.009402771549015644,-0.1441172465256784,-0.6745131437967177,-0.011753212246354625,-0.15381318426479568,-0.7886954916829647,-0.03589502913367851,-0.1566668763770476,-0.8956684876392866,-0.05531474213186942,-0.06007650870910264,-0.5158445461745953,-0.0012185932965409552,-0.08932251729152461,-0.732651716985485,-0.018054183337513893,-0.10278866510287774,-0.8693430023661248,-0.042670562527296105,-0.11182576567452641,-0.9917541105769155,-0.0626001779957304,-0.004257401038780743,-0.5050519000329275,-0.018922579134557107,-0.024294155269918873,-0.7096828497311752,-0.038979302093804485,-0.03542214174695453,-0.8364740661342409,-0.0577968760527798,-0.04572641257175063,-0.9478609877144886,-0.07301063851678548,0.05670542469697424,-0.46422277606219864,-0.04070803323220744,0.04187828916730644,-0.6212168292170049,-0.059946096499036386,0.028467636628405724,-0.7269227606657443,-0.07017461120114783,0.01313749059568601,-0.8262924178664871,-0.07874896918085336,raised_hand
7,1766181835.6703832,0.0,0.0,0.0,-0.11568356033072132,-0.08641723179634221,-0.02323897506477654,-0.17537764137573508,-0.26556711263837957,-0.02656816112927552,-0.18034030448516747,-0.43885939896029336,-0.03191944249686901,-0.19508574734597042,-0.5721174760676272,-0.036443514707901074,-0.11923377902380912,-0.48624870152788896,0.015210384917263108,-0.145502150742723,-0.6739095618619372,-0.004776939943738647,-0.15541268121318236,-0.7885349302667057,-0.028714149688481665,-0.15865954479039296,-0.8960657373110938,-0.0480557200550509,-0.061337423683616034,-0.517145901998643,0.004390204238809373,-0.09014322398048594,-0.7320603195275691,-0.01166907498967439,-0.10440133716238251,-0.8688519172690761,-0.03646185615172789,-0.11404469869020754,-0.9918752256480383,-0.056367929235627216,-0.005558804949468611,-0.507339998606193,-0.013765067129759995,-0.02559300921455854,-0.7103444727722904,-0.03318582381337524,-0.03753672915731851,-0.8370417345745763,-0.051898524672855106,-0.04818434153976708,-0.948144742566826,-0.0668295115028574,0.05563378949404218,-0.4673637041782284,-0.03608588825845336,0.04129028370706311,-0.6245880190997326,-0.05444464575299928,0.02746733462255224,-0.7304175264453362,-0.06413479355096047,0.011836429630037516,-0.8298792818657987,-0.07224315430788165,raised_hand
8,1766181835.770126,0.0,0.0,0.0,-0.11355040728310987,-0.08579264352528729,-0.025154257320840843,-0.17320871585776218,-0.2662413962230044,-0.03066387430747957,-0.17778249870196236,-0.43797649605149797,-0.037627225805055634,-0.1893653763567374,-0.574072566216714,-0.04367037678382525,-0.11795670020099679,-0.49059790733158537,0.01023805364269125,-0.14321612177836107,-0.6777409412806457,-0.011397327726123329,-0.1520541053309209,-0.7916737909269873,-0.036052593732382406,-0.1542393215080802,-0.898477265213656,-0.055856980210303886,-0.0593990156056041,-0.5202193656725034,-9.806853498388683e-05,-0.08695705711880022,-0.7343329185368156,-0.01760463307143314,-0.1002350003301029,-0.8700825756579614,-0.04287128740805242,-0.10909652528792288,-0.9920270970944518,-0.06308872165812747,-0.002982164466342596,-0.5085281047379554,-0.017702159301905208,-0.022051462127236136,-0.7116921196890077,-0.03832657007798561,-0.03324240491665843,-0.8367594633788251,-0.05747999767573291,-0.04365884391080136,-0.9474157544263773,-0.07273615196099666,0.057844101569281166,-0.46580045419077787,-0.03945941055472155,0.044378670893863596,-0.6216403381231586,-0.059372813145890754,0.030206660549454912,-0.7269812920608157,-0.07011185482461686,0.01406603183183968,-0.8263496480417177,-0.07883243722038873,raised_hand
9,1766181835.870343,0.0,0.0,0.0,-0.11432923861020085,-0.0886116136231932,-0.02528565894916953,-0.17457744311406267,-0.2649905011640899,-0.030750081326211647,-0.18143941884218165,-0.43645322373504364,-0.037949655792747825,-0.19494385553051632,-0.572233316687272,-0.04405297490628857,-0.11818104077459822,-0.4889908343430123,0.012792699067588566,-0.14440343958915028,-0.678066884752882,-0.008472586901211453,-0.154196627953285,-0.7926533394323049,-0.03303935252793969,-0.1571934154369878,-0.8994748933975304,-0.05256822153388153,-0.0604388290610916,-0.5188591608001536,0.0027045180428318383,-0.08861525667028693,-0.7342653340799166,-0.01430790311077609,-0.10248450640014667,-0.8702416008820406,-0.03919290385987377,-0.11172691687692551,-0.9919885493462043,-0.05895603456127122,-0.004342681579770379,-0.5091551423677897,-0.014892466553337641,-0.023680229719335904,-0.7129373690357832,-0.03474239232223042,-0.035279183333601846,-0.8390388178022655,-0.05301170956627658,-0.04561044128127712,-0.9490954823087437,-0.06748624521660672,0.05703817168213801,-0.4689196358241885,-0.03685464479450097,0.042877986516932934,-0.6259167503282423,-0.055328782830163924,0.029211307149889364,-0.7312407154108582,-0.06471025392144189,0.013851966436670905,-0.8297879351229431,-0.07238649833114758,raised_hand
